# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);28.652
# Site longitude (positive means East);77.222
# Site altitude (m);206
# Date beginning;2015-02-01
# Date end;2020-08-31
# Time reference (hour);UT
# Summarization (period of integration);Hour (h)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2015-02-01;01:00;282.22;45.89;992.07;1.49;154.60;0.000000;0.000000;0.000000;0.0000
2015-02-01;02:00;280.88;50.55;992.47;1.96;167.21;0.000000;0.000000;0.000000;11.8439
2015-02-01;03:00;283.09;48.18;992.89;2.22;175.56;0.000000;0.000000;0.000000;147.8282
2015-02-01;04:00;286.17;36.73;993.27;2.62;178.52;0.000000;0.000000;0.000000;342.3689
2015-02-01;05:00;290.21;29.04;993.44;2.63;174.19;0.000000;0.000000;0.000000;513.7064
2015-02-01;06:00;293.98;21.98;992.99;3.39;170.60;0.000000;0.000000;0.000000;630.6085
2015-02-01;07:00;295.30;20.57;991.99;3.17;165.29;0.000000;0.000000;0.000000;624.7943
2015-02-01;08:00;295.94;20.07;990.79;3.04;164.07;0.000000;0.000000;0.000000;577.9069
2015-02-01;09:00;296.03;20.21;989.92;2.94;164.15;0.000000;0.000000;0.000000;472.2106
2015-02-01;10:00;295.47;21.22;989.55;2.89;168.96;0.000000;0.000000;0.000000;315.6009
2015-02-01;11:00;294.31;24.19;989.61;2.65;175.04;0.000000;0.000000;0.000000;178.0009
2015-02-01;12:00;291.24;40.78;989.93;1.94;177.06;0.000000;0.000000;0.000000;51.8802
2015-02-01;13:00;288.77;43.86;990.62;2.22;176.29;0.000000;0.000000;0.000000;1.0387
2015-02-01;14:00;287.78;43.08;991.65;2.12;171.08;0.000000;0.000000;0.000000;0.0000
2015-02-01;15:00;287.16;42.80;992.60;1.88;161.03;0.000000;0.000000;0.000000;0.0000
2015-02-01;16:00;286.69;43.55;992.88;1.81;140.70;0.000000;0.000000;0.000000;0.0000
2015-02-01;17:00;286.35;44.50;992.47;2.26;119.25;0.000000;0.000000;0.000000;0.0000
2015-02-01;18:00;285.86;45.86;991.90;2.79;111.86;0.000001;0.000000;0.000000;0.0000
2015-02-01;19:00;285.42;46.71;991.15;3.10;109.23;0.000001;0.000000;0.000000;0.0000
2015-02-01;20:00;284.77;48.52;990.69;3.08;106.44;0.000000;0.000000;0.000000;0.0000
2015-02-01;21:00;283.78;51.07;990.44;3.07;103.63;0.000000;0.000000;0.000000;0.0000
2015-02-01;22:00;282.93;53.16;990.22;3.09;100.86;0.000000;0.000000;0.000000;0.0000
2015-02-01;23:00;282.24;54.78;990.26;3.05;99.76;0.000000;0.000000;0.000000;0.0000
2015-02-01;24:00;281.91;55.65;990.50;2.99;100.71;0.000000;0.000000;0.000000;0.0000
2015-02-02;01:00;281.68;56.23;991.07;2.95;104.76;0.000000;0.000000;0.000000;0.0000
2015-02-02;02:00;281.73;56.29;991.90;2.87;112.12;0.000000;0.000000;0.000000;12.0550
2015-02-02;03:00;284.86;48.22;992.77;3.09;121.70;0.000000;0.000000;0.000000;132.5654
2015-02-02;04:00;287.56;39.64;993.48;3.23;129.96;0.000000;0.000000;0.000000;288.5540
2015-02-02;05:00;291.14;32.46;993.91;3.57;138.05;0.000000;0.000000;0.000000;445.3776
2015-02-02;06:00;294.78;25.31;993.81;4.86;140.48;0.000000;0.000000;0.000000;594.1928
2015-02-02;07:00;296.39;22.98;993.04;4.63;133.07;0.000000;0.000000;0.000000;638.4495
2015-02-02;08:00;297.35;21.52;991.83;4.58;127.59;0.000000;0.000000;0.000000;649.7552
2015-02-02;09:00;297.68;21.04;990.98;4.37;128.97;0.000000;0.000000;0.000000;575.6888
2015-02-02;10:00;297.44;21.63;990.81;3.79;137.66;0.000001;0.000000;0.000000;423.3085
2015-02-02;11:00;296.13;26.73;990.75;2.76;138.96;0.000006;0.000000;0.000000;184.2815
2015-02-02;12:00;292.90;41.72;990.67;2.18;126.40;0.000011;0.000000;0.000000;56.0114
2015-02-02;13:00;290.36;44.55;990.83;2.76;117.45;0.000055;0.000000;0.000000;1.1618
2015-02-02;14:00;289.33;45.59;991.40;3.08;110.19;0.000295;0.000000;0.000000;0.0000
2015-02-02;15:00;288.78;45.46;991.84;3.31;106.29;0.000670;0.000000;0.000000;0.0000
2015-02-02;16:00;288.24;45.97;992.14;3.53;106.16;0.000410;0.000000;0.000000;0.0000
2015-02-02;17:00;287.38;48.21;992.17;3.64;106.28;0.000026;0.000000;0.000000;0.0000
2015-02-02;18:00;286.51;50.88;991.91;3.79;105.95;0.000001;0.000000;0.000000;0.0000
2015-02-02;19:00;285.90;53.43;991.65;3.92;105.72;0.000000;0.000000;0.000000;0.0000
2015-02-02;20:00;285.47;56.51;991.43;4.09;105.70;0.000001;0.000000;0.000000;0.0000
2015-02-02;21:00;284.78;61.79;991.19;4.24;107.06;0.000005;0.000000;0.000000;0.0000
2015-02-02;22:00;284.11;66.95;990.99;4.36;108.85;0.000007;0.000000;0.000000;0.0000
2015-02-02;23:00;283.70;70.98;990.88;4.42;111.08;0.000006;0.000000;0.000000;0.0000
2015-02-02;24:00;283.46;73.84;991.11;4.23;115.41;0.000021;0.000000;0.000000;0.0000
2015-02-03;01:00;283.51;74.28;991.82;4.16;121.12;0.000039;0.000000;0.000000;0.0000
2015-02-03;02:00;283.84;71.97;992.77;4.44;129.53;0.000075;0.000000;0.000000;7.0696
2015-02-03;03:00;284.74;67.16;993.84;4.56;136.71;0.000138;0.000000;0.000000;79.2270
2015-02-03;04:00;286.50;59.26;994.81;3.92;138.18;0.000090;0.000000;0.000000;192.1657
2015-02-03;05:00;289.33;46.89;995.55;3.52;137.14;0.000074;0.000000;0.000000;343.6075
2015-02-03;06:00;292.10;38.03;995.71;3.15;138.52;0.000036;0.000000;0.000000;490.1718
2015-02-03;07:00;294.54;32.34;995.26;2.31;152.51;0.000011;0.000000;0.000000;568.5273
2015-02-03;08:00;296.24;29.25;994.37;1.60;192.23;0.000002;0.000000;0.000000;592.2944
2015-02-03;09:00;296.89;28.55;993.52;1.69;233.59;0.000000;0.000000;0.000000;543.1387
2015-02-03;10:00;296.70;29.25;993.12;2.33;255.85;0.000000;0.000000;0.000000;410.9595
2015-02-03;11:00;295.70;31.75;993.16;2.96;269.61;0.000000;0.000000;0.000000;242.1424
2015-02-03;12:00;292.48;46.08;993.48;2.30;283.54;0.000000;0.000000;0.000000;79.0917
2015-02-03;13:00;288.96;53.85;994.10;2.93;293.99;0.000000;0.000000;0.000000;1.6749
2015-02-03;14:00;287.81;56.36;995.04;3.11;298.52;0.000000;0.000000;0.000000;0.0000
2015-02-03;15:00;286.95;59.22;995.88;3.19;299.62;0.000000;0.000000;0.000000;0.0000
2015-02-03;16:00;286.16;62.94;996.45;3.24;300.45;0.000000;0.000000;0.000000;0.0000
2015-02-03;17:00;285.40;67.36;996.77;3.24;302.09;0.000000;0.000000;0.000000;0.0000
2015-02-03;18:00;284.66;72.19;996.88;3.22;304.34;0.000000;0.000000;0.000000;0.0000
2015-02-03;19:00;283.98;76.97;996.77;3.23;308.48;0.000000;0.000000;0.000000;0.0000
2015-02-03;20:00;283.31;81.89;996.66;3.24;314.04;0.000000;0.000000;0.000000;0.0000
2015-02-03;21:00;282.62;87.21;996.44;3.21;318.42;0.000000;0.000000;0.000000;0.0000
2015-02-03;22:00;281.97;91.62;996.08;3.09;319.87;0.000000;0.000000;0.000000;0.0000
2015-02-03;23:00;281.41;95.13;995.86;2.99;318.72;0.000000;0.000000;0.000000;0.0000
2015-02-03;24:00;280.97;98.09;995.97;2.96;315.48;0.000013;0.000000;0.000000;0.0000
2015-02-04;01:00;280.61;100.69;996.34;2.95;310.97;0.001201;0.000000;0.000000;0.0000
2015-02-04;02:00;280.61;101.04;996.93;2.98;305.63;0.005622;0.000000;0.000000;14.0861
2015-02-04;03:00;283.11;89.37;997.57;4.13;299.38;0.002350;0.000000;0.000000;154.6551
2015-02-04;04:00;285.66;79.68;998.11;3.46;289.94;0.000000;0.000000;0.000000;361.9403
2015-02-04;05:00;290.24;56.78;998.36;4.05;301.41;0.000000;0.000000;0.000000;540.9774
2015-02-04;06:00;293.29;42.62;998.11;3.83;303.63;0.000000;0.000000;0.000000;668.7726
2015-02-04;07:00;294.89;36.56;997.28;3.63;303.07;0.000000;0.000000;0.000000;694.1322
2015-02-04;08:00;296.02;31.95;996.20;3.76;304.17;0.000000;0.000000;0.000000;688.7959
2015-02-04;09:00;296.56;28.82;995.27;4.02;305.99;0.000000;0.000000;0.000000;614.5619
2015-02-04;10:00;296.36;27.33;994.52;4.24;306.40;0.000000;0.000000;0.000000;473.2212
2015-02-04;11:00;295.41;27.85;994.16;4.20;303.57;0.000000;0.000000;0.000000;291.8968
2015-02-04;12:00;292.15;38.99;994.13;2.75;297.01;0.000000;0.000000;0.000000;101.3396
2015-02-04;13:00;288.01;48.29;994.46;3.25;291.37;0.000000;0.000000;0.000000;2.1951
2015-02-04;14:00;286.80;49.56;995.10;3.44;290.11;0.000000;0.000000;0.000000;0.0000
2015-02-04;15:00;285.86;50.86;995.50;3.52;290.95;0.000000;0.000000;0.000000;0.0000
2015-02-04;16:00;284.96;52.77;995.65;3.55;293.35;0.000000;0.000000;0.000000;0.0000
2015-02-04;17:00;284.15;55.16;995.59;3.55;296.24;0.000000;0.000000;0.000000;0.0000
2015-02-04;18:00;283.40;57.89;995.40;3.54;298.77;0.000000;0.000000;0.000000;0.0000
2015-02-04;19:00;282.71;60.92;995.06;3.53;300.92;0.000000;0.000000;0.000000;0.0000
2015-02-04;20:00;282.04;64.47;994.65;3.50;302.51;0.000000;0.000000;0.000000;0.0000
2015-02-04;21:00;281.40;68.28;994.12;3.49;303.07;0.000000;0.000000;0.000000;0.0000
2015-02-04;22:00;280.74;72.23;993.56;3.39;301.51;0.000000;0.000000;0.000000;0.0000
2015-02-04;23:00;280.07;75.90;993.10;3.28;298.05;0.000000;0.000000;0.000000;0.0000
2015-02-04;24:00;279.51;78.64;992.99;3.23;294.38;0.000000;0.000000;0.000000;0.0000
2015-02-05;01:00;278.99;80.67;993.22;3.19;290.18;0.000000;0.000000;0.000000;0.0000
2015-02-05;02:00;278.84;80.36;993.70;3.21;285.35;0.000000;0.000000;0.000000;18.1000
2015-02-05;03:00;281.89;64.61;994.33;4.38;280.36;0.000000;0.000000;0.000000;185.3775
2015-02-05;04:00;285.15;52.64;994.94;3.52;274.93;0.000000;0.000000;0.000000;399.4336
2015-02-05;05:00;290.33;36.26;995.24;3.47;283.18;0.000000;0.000000;0.000000;583.4732
2015-02-05;06:00;294.18;24.48;995.02;3.57;297.27;0.000000;0.000000;0.000000;713.7998
2015-02-05;07:00;295.65;20.95;994.17;3.20;296.67;0.000000;0.000000;0.000000;746.3224
2015-02-05;08:00;296.61;18.57;993.03;3.11;292.37;0.000000;0.000000;0.000000;737.1024
2015-02-05;09:00;297.04;17.18;992.15;3.06;289.47;0.000000;0.000000;0.000000;657.0427
2015-02-05;10:00;296.74;16.88;991.47;2.95;286.54;0.000000;0.000000;0.000000;500.4478
2015-02-05;11:00;295.69;18.13;991.25;2.90;277.46;0.000000;0.000000;0.000000;309.0269
2015-02-05;12:00;291.91;34.26;991.41;2.26;267.68;0.000000;0.000000;0.000000;110.4270
2015-02-05;13:00;287.91;39.16;991.87;2.85;266.93;0.000000;0.000000;0.000000;2.6166
2015-02-05;14:00;286.65;40.43;992.57;2.91;271.80;0.000000;0.000000;0.000000;0.0000
2015-02-05;15:00;285.72;42.07;993.09;2.87;278.68;0.000000;0.000000;0.000000;0.0000
2015-02-05;16:00;284.74;44.24;993.39;2.89;286.95;0.000000;0.000000;0.000000;0.0000
2015-02-05;17:00;283.77;46.98;993.50;2.98;293.13;0.000000;0.000000;0.000000;0.0000
2015-02-05;18:00;282.96;49.50;993.35;3.00;298.87;0.000000;0.000000;0.000000;0.0000
2015-02-05;19:00;282.28;51.93;993.02;2.98;305.81;0.000000;0.000000;0.000000;0.0000
2015-02-05;20:00;281.70;54.33;992.73;2.96;310.99;0.000000;0.000000;0.000000;0.0000
2015-02-05;21:00;281.26;56.62;992.35;2.88;314.20;0.000000;0.000000;0.000000;0.0000
2015-02-05;22:00;281.01;58.12;991.95;2.70;317.28;0.000000;0.000000;0.000000;0.0000
2015-02-05;23:00;280.91;59.14;991.46;2.46;323.62;0.000000;0.000000;0.000000;0.0000
2015-02-05;24:00;280.79;60.15;991.31;2.15;326.45;0.000000;0.000000;0.000000;0.0000
2015-02-06;01:00;280.91;60.09;991.77;1.76;315.76;0.000000;0.000000;0.000000;0.0000
2015-02-06;02:00;280.72;61.19;992.58;1.60;295.47;0.000000;0.000000;0.000000;18.2335
2015-02-06;03:00;283.15;54.97;993.44;1.69;278.60;0.000000;0.000000;0.000000;182.5768
2015-02-06;04:00;286.20;44.54;994.26;1.73;268.88;0.000000;0.000000;0.000000;393.9287
2015-02-06;05:00;290.74;31.10;994.87;1.48;249.91;0.000000;0.000000;0.000000;575.4921
2015-02-06;06:00;294.21;20.18;994.82;1.47;232.30;0.000000;0.000000;0.000000;702.8527
2015-02-06;07:00;295.89;17.43;994.06;1.25;242.58;0.000000;0.000000;0.000000;753.7513
2015-02-06;08:00;296.94;16.40;992.92;1.24;248.18;0.000000;0.000000;0.000000;742.0667
2015-02-06;09:00;297.41;16.25;991.97;1.24;242.72;0.000000;0.000000;0.000000;660.1542
2015-02-06;10:00;297.21;16.83;991.29;1.38;235.69;0.000000;0.000000;0.000000;507.1907
2015-02-06;11:00;296.28;18.43;990.90;1.54;234.81;0.000000;0.000000;0.000000;316.8941
2015-02-06;12:00;293.58;31.26;990.90;1.09;242.64;0.000000;0.000000;0.000000;113.6036
