# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);28.808
# Site longitude (positive means East);77.052
# Site altitude (m);222
# Date beginning;2015-02-01
# Date end;2020-08-31
# Time reference (hour);UT
# Summarization (period of integration);Hour (h)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2015-02-01;01:00;281.69;47.67;991.52;1.80;155.00;0.000000;0.000000;0.000000;0.0000
2015-02-01;02:00;280.49;51.92;991.92;2.25;165.94;0.000000;0.000000;0.000000;10.8777
2015-02-01;03:00;282.91;48.17;992.35;2.45;173.58;0.000000;0.000000;0.000000;143.7651
2015-02-01;04:00;286.08;36.83;992.72;2.83;176.07;0.000000;0.000000;0.000000;337.5845
2015-02-01;05:00;290.07;29.28;992.90;2.70;171.46;0.000000;0.000000;0.000000;509.1822
2015-02-01;06:00;293.92;21.92;992.47;3.52;168.68;0.000000;0.000000;0.000000;627.2696
2015-02-01;07:00;295.29;20.40;991.50;3.23;162.71;0.000000;0.000000;0.000000;627.0605
2015-02-01;08:00;295.97;19.86;990.29;3.05;161.18;0.000000;0.000000;0.000000;579.9821
2015-02-01;09:00;296.06;19.99;989.42;2.93;161.69;0.000000;0.000000;0.000000;469.5997
2015-02-01;10:00;295.52;20.95;989.05;2.88;166.87;0.000000;0.000000;0.000000;316.8410
2015-02-01;11:00;294.33;24.11;989.09;2.60;172.57;0.000000;0.000000;0.000000;173.2412
2015-02-01;12:00;291.22;40.60;989.40;1.95;174.68;0.000000;0.000000;0.000000;52.6463
2015-02-01;13:00;288.59;43.82;990.08;2.30;173.85;0.000000;0.000000;0.000000;1.1598
2015-02-01;14:00;287.46;44.24;991.13;2.29;169.50;0.000000;0.000000;0.000000;0.0000
2015-02-01;15:00;286.66;44.79;992.06;2.20;161.55;0.000000;0.000000;0.000000;0.0000
2015-02-01;16:00;286.08;45.79;992.30;2.23;145.93;0.000000;0.000000;0.000000;0.0000
2015-02-01;17:00;285.94;45.64;991.85;2.54;127.25;0.000000;0.000000;0.000000;0.0000
2015-02-01;18:00;285.63;45.91;991.25;2.91;118.25;0.000001;0.000000;0.000000;0.0000
2015-02-01;19:00;285.12;46.94;990.59;3.09;113.89;0.000000;0.000000;0.000000;0.0000
2015-02-01;20:00;284.27;49.44;990.26;3.05;110.22;0.000000;0.000000;0.000000;0.0000
2015-02-01;21:00;283.46;51.49;989.95;3.07;105.92;0.000000;0.000000;0.000000;0.0000
2015-02-01;22:00;282.66;53.43;989.73;3.11;102.45;0.000000;0.000000;0.000000;0.0000
2015-02-01;23:00;282.08;54.84;989.74;3.07;101.21;0.000000;0.000000;0.000000;0.0000
2015-02-01;24:00;281.79;55.66;989.96;3.02;101.99;0.000000;0.000000;0.000000;0.0000
2015-02-02;01:00;281.57;56.19;990.51;2.99;105.51;0.000000;0.000000;0.000000;0.0000
2015-02-02;02:00;281.64;56.13;991.34;2.92;112.20;0.000000;0.000000;0.000000;11.1710
