# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);28.567
# Site longitude (positive means East);77.172
# Site altitude (m);230
# Date beginning;2015-08-01
# Date end;2020-08-31
# Time reference (hour);UT
# Summarization (period of integration);Hour (h)
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
2015-08-01;01:00;298.86;85.48;976.79;2.24;190.95;0.038457;0.000000;0.000000;16.2874
2015-08-01;02:00;299.69;81.64;977.40;2.82;183.77;0.085246;0.000000;0.000000;95.3116
2015-08-01;03:00;301.19;75.03;977.79;3.27;187.65;0.140776;0.000000;0.000000;234.3509
2015-08-01;04:00;302.74;68.96;978.27;3.48;189.10;0.263366;0.000000;0.000000;417.8191
2015-08-01;05:00;304.05;63.73;978.51;3.55;188.03;0.369746;0.000000;0.000000;575.4399
2015-08-01;06:00;305.30;58.84;978.46;3.65;188.97;0.339350;0.000000;0.000000;739.3186
2015-08-01;07:00;306.23;55.25;978.10;3.84;193.66;0.335947;0.000000;0.000000;821.0786
2015-08-01;08:00;306.84;52.63;977.53;4.08;199.23;0.342810;0.000000;0.000000;827.7167
2015-08-01;09:00;306.91;51.75;977.05;4.33;204.02;0.358904;0.000000;0.000000;707.3854
2015-08-01;10:00;306.66;51.79;976.67;4.36;206.37;0.289819;0.000000;0.000000;557.7931
2015-08-01;11:00;306.20;52.66;976.50;4.16;207.74;0.221264;0.000000;0.000000;387.0434
2015-08-01;12:00;305.45;54.79;976.68;3.89;211.21;0.124016;0.000000;0.000000;232.7139
2015-08-01;13:00;304.39;59.39;977.04;3.30;214.26;0.048848;0.000000;0.000000;98.5976
2015-08-01;14:00;302.87;67.49;977.58;2.28;213.76;0.015375;0.000000;0.000000;10.1315
2015-08-01;15:00;301.91;71.98;978.21;2.05;211.12;0.010777;0.000000;0.000000;0.0000
2015-08-01;16:00;301.30;74.64;978.98;2.06;210.41;0.014243;0.000000;0.000000;0.0000
2015-08-01;17:00;300.72;77.12;979.44;2.06;213.82;0.014963;0.000000;0.000000;0.0000
2015-08-01;18:00;300.29;78.97;979.63;1.98;217.61;0.016551;0.000000;0.000000;0.0000
2015-08-01;19:00;299.97;80.31;979.59;1.86;218.41;0.023289;0.000000;0.000000;0.0000
2015-08-01;20:00;299.64;81.66;979.30;1.84;219.03;0.019656;0.000000;0.000000;0.0000
2015-08-01;21:00;299.22;82.97;978.91;1.87;222.77;0.013694;0.000000;0.000000;0.0000
2015-08-01;22:00;298.88;84.28;978.74;1.67;227.47;0.008239;0.000000;0.000000;0.0000
2015-08-01;23:00;298.69;84.99;978.84;1.47;228.46;0.008257;0.000000;0.000000;0.0000
2015-08-01;24:00;298.54;85.16;978.99;1.41;225.83;0.007568;0.000000;0.000000;0.0000
2015-08-02;01:00;298.69;84.72;979.24;1.40;219.02;0.003788;0.000000;0.000000;18.4329
2015-08-02;02:00;299.47;79.94;979.81;1.83;212.41;0.004358;0.000000;0.000000;95.1848
2015-08-02;03:00;300.77;74.28;980.39;1.94;206.05;0.007845;0.000000;0.000000;195.2193
2015-08-02;04:00;302.46;66.04;980.95;1.87;192.07;0.029728;0.000000;0.000000;300.1471
2015-08-02;05:00;303.45;61.52;981.08;1.72;166.35;0.055317;0.000000;0.000000;410.3549
2015-08-02;06:00;304.20;58.66;980.81;1.78;143.82;0.063778;0.000000;0.000000;501.7831
2015-08-02;07:00;304.84;56.28;980.17;1.80;131.60;0.074235;0.000000;0.000000;579.4556
2015-08-02;08:00;305.37;54.20;979.31;1.73;124.54;0.067389;0.000000;0.000000;613.1727
2015-08-02;09:00;305.85;52.35;978.43;1.56;118.55;0.065558;0.000000;0.000000;631.4647
2015-08-02;10:00;306.14;51.09;977.80;1.34;124.26;0.063805;0.000000;0.000000;571.2141
2015-08-02;11:00;306.18;50.49;977.58;1.17;149.42;0.075232;0.000000;0.000000;450.8897
2015-08-02;12:00;305.80;51.64;977.59;1.26;180.05;0.104548;0.000000;0.000000;294.8429
2015-08-02;13:00;304.83;55.81;977.85;1.50;203.71;0.195543;0.000000;0.000000;112.6633
2015-08-02;14:00;302.89;67.11;978.33;1.74;224.60;0.335461;0.000000;0.000000;8.7561
2015-08-02;15:00;301.58;72.78;978.99;2.21;243.40;0.594744;0.000000;0.000000;0.0000
2015-08-02;16:00;300.73;76.04;979.77;2.57;259.55;0.818654;0.000000;0.000000;0.0000
2015-08-02;17:00;300.01;79.44;979.99;2.95;271.63;0.856594;0.000000;0.000000;0.0000
2015-08-02;18:00;299.43;82.83;979.74;3.05;278.13;0.716323;0.000000;0.000000;0.0000
2015-08-02;19:00;299.09;85.10;979.36;2.79;283.42;0.461295;0.000000;0.000000;0.0000
2015-08-02;20:00;298.88;86.32;978.87;2.40;287.90;0.283629;0.000000;0.000000;0.0000
2015-08-02;21:00;298.70;87.30;978.42;2.02;290.00;0.194067;0.000000;0.000000;0.0000
2015-08-02;22:00;298.53;88.30;978.11;1.72;287.29;0.140736;0.000000;0.000000;0.0000
2015-08-02;23:00;298.35;89.32;978.01;1.57;278.43;0.087775;0.000000;0.000000;0.0000
2015-08-02;24:00;298.23;89.97;978.13;1.56;268.50;0.062773;0.000000;0.000000;0.0000
2015-08-03;01:00;298.37;89.13;978.49;1.96;261.64;0.046730;0.000000;0.000000;22.0573
2015-08-03;02:00;299.46;82.73;978.97;2.37;261.67;0.020845;0.000000;0.000000;131.9234
2015-08-03;03:00;301.23;72.63;979.31;2.36;265.27;0.030124;0.000000;0.000000;287.1617
2015-08-03;04:00;303.00;64.54;979.52;2.10;265.91;0.060179;0.000000;0.000000;501.0520
2015-08-03;05:00;304.29;59.41;979.56;1.73;270.87;0.081740;0.000000;0.000000;606.2478
2015-08-03;06:00;305.23;56.10;979.31;1.44;281.49;0.101411;0.000000;0.000000;655.1469
2015-08-03;07:00;305.77;54.12;978.78;1.36;296.76;0.083406;0.000000;0.000000;601.3622
2015-08-03;08:00;306.00;53.22;978.00;1.53;311.30;0.054112;0.000000;0.000000;526.6304
2015-08-03;09:00;306.00;53.11;977.37;1.90;319.72;0.035538;0.000000;0.000000;424.1373
2015-08-03;10:00;305.75;53.59;976.78;2.13;328.05;0.009443;0.000000;0.000000;312.1498
2015-08-03;11:00;305.41;54.81;976.50;2.13;335.96;0.001386;0.000000;0.000000;227.4920
2015-08-03;12:00;304.93;57.38;976.38;1.85;341.15;0.000285;0.000000;0.000000;141.3976
2015-08-03;13:00;304.34;60.18;976.54;1.47;344.60;0.000130;0.000000;0.000000;65.4751
2015-08-03;14:00;303.05;67.88;976.85;0.95;355.78;0.000064;0.000000;0.000000;7.4315
2015-08-03;15:00;302.37;70.38;977.20;0.64;16.43;0.000031;0.000000;0.000000;0.0000
2015-08-03;16:00;302.01;71.14;977.63;0.32;43.83;0.000016;0.000000;0.000000;0.0000
2015-08-03;17:00;301.68;71.60;977.93;0.21;36.63;0.000009;0.000000;0.000000;0.0000
2015-08-03;18:00;301.29;72.69;978.02;0.37;356.62;0.000006;0.000000;0.000000;0.0000
2015-08-03;19:00;300.91;73.72;977.69;0.50;332.14;0.000005;0.000000;0.000000;0.0000
2015-08-03;20:00;300.62;74.13;977.08;0.58;296.56;0.000004;0.000000;0.000000;0.0000
2015-08-03;21:00;300.15;75.86;976.54;0.83;255.89;0.000002;0.000000;0.000000;0.0000
2015-08-03;22:00;299.68;77.74;976.19;1.16;229.62;0.000002;0.000000;0.000000;0.0000
2015-08-03;23:00;299.16;79.90;976.12;1.49;213.46;0.000001;0.000000;0.000000;0.0000
2015-08-03;24:00;298.71;81.72;976.25;1.72;207.38;0.000001;0.000000;0.000000;0.0000
2015-08-04;01:00;299.01;81.35;976.56;1.80;208.05;0.000001;0.000000;0.000000;33.2754
2015-08-04;02:00;300.80;72.61;977.04;2.43;212.18;0.000000;0.000000;0.000000;193.7372
2015-08-04;03:00;303.80;58.87;977.53;2.01;237.95;0.000001;0.000000;0.000000;389.1342
2015-08-04;04:00;305.72;51.77;977.89;2.24;259.21;0.000063;0.000000;0.000000;588.3477
2015-08-04;05:00;306.97;48.57;977.95;2.38;267.19;0.000245;0.000000;0.000000;766.0229
2015-08-04;06:00;308.08;45.92;977.55;2.37;273.40;0.000544;0.000000;0.000000;892.6029
2015-08-04;07:00;308.85;43.99;976.84;2.39;278.74;0.000620;0.000000;0.000000;895.3828
2015-08-04;08:00;309.49;42.37;975.91;2.45;283.20;0.000519;0.000000;0.000000;890.1032
2015-08-04;09:00;309.85;41.45;974.99;2.51;286.95;0.000379;0.000000;0.000000;821.9003
2015-08-04;10:00;309.94;41.14;974.15;2.38;289.40;0.001374;0.000000;0.000000;698.4692
2015-08-04;11:00;309.75;41.25;973.53;2.17;289.74;0.002113;0.000000;0.000000;526.2174
2015-08-04;12:00;309.07;42.76;973.29;1.97;288.29;0.000440;0.000000;0.000000;322.0430
2015-08-04;13:00;308.04;45.90;973.37;1.65;283.64;0.000615;0.000000;0.000000;119.7822
2015-08-04;14:00;306.42;55.86;973.77;1.12;279.74;0.001006;0.000000;0.000000;9.7246
2015-08-04;15:00;306.04;56.69;974.40;0.77;277.42;0.000722;0.000000;0.000000;0.0000
2015-08-04;16:00;305.68;57.67;975.16;0.62;275.76;0.000963;0.000000;0.000000;0.0000
2015-08-04;17:00;305.06;60.04;975.57;0.68;272.76;0.001027;0.000000;0.000000;0.0000
2015-08-04;18:00;304.28;63.13;975.48;0.84;267.48;0.000352;0.000000;0.000000;0.0000
2015-08-04;19:00;303.48;65.90;975.05;1.04;264.92;0.000024;0.000000;0.000000;0.0000
2015-08-04;20:00;302.84;66.47;974.47;1.15;263.93;0.000004;0.000000;0.000000;0.0000
2015-08-04;21:00;302.31;67.46;973.86;1.13;264.58;0.000003;0.000000;0.000000;0.0000
2015-08-04;22:00;301.86;68.60;973.54;0.84;254.67;0.000003;0.000000;0.000000;0.0000
